code_national_tri,libelle_tri,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune,num_risque,libelle_risque_long
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01347,SAINT-DIDIER-DE-FORMANS,183,Par une crue torrentielle ou à montée rapide de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01353,SAINTE-EUPHEMIE,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01353,SAINTE-EUPHEMIE,183,Par une crue torrentielle ou à montée rapide de cours d'eau
71DREAL20140002,TRI du Mâconnais,RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01370,SAINT-LAURENT-SUR-SAONE,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01376,SAINT-MAURICE-DE-BEYNOST,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01376,SAINT-MAURICE-DE-BEYNOST,183,Par une crue torrentielle ou à montée rapide de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01418,THIL,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01418,THIL,183,Par une crue torrentielle ou à montée rapide de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01423,TOUSSIEUX,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01423,TOUSSIEUX,183,Par une crue torrentielle ou à montée rapide de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01427,TREVOUX,180,Par une crue à débordement lent de cours d'eau
01DREAL20160001,Lyon,,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01427,TREVOUX,183,Par une crue torrentielle ou à montée rapide de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02001,ABBECOURT,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02001,ABBECOURT,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02016,ANDELAIN,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02016,ANDELAIN,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02041,AUTREVILLE,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02041,AUTREVILLE,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02059,BEAUTOR,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02059,BEAUTOR,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02165,CHARMES,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02165,CHARMES,180,Par une crue à débordement lent de cours d'eau
