id,type,geometry.type,geometry.coordinates,properties.idmutinvar,properties.idopendata,properties.datemut,properties.anneemut,properties.coddep,properties.libnatmut,properties.vefa,properties.valeurfonc,properties.nbcomm,properties.l_codinsee,properties.nbpar,properties.l_idpar,properties.nbparmut,properties.l_idparmut,properties.sterr,properties.nbvolmut,properties.nblocmut,properties.l_idlocmut,properties.sbati,properties.codtypbien,properties.libtypbien
3494851,Feature,MultiPolygon,"[[[[4.356125, 43.827145], [4.356009, 43.82725], [4.355924, 43.827329], [4.35583, 43.827276], [4.355775, 43.827245], [4.355746, 43.827229], [4.355704, 43.827206], [4.355665, 43.827185], [4.355588, 43.827257], [4.35556, 43.827222], [4.355764, 43.827032], [4.355825, 43.826975], [4.355893, 43.827014], [4.355942, 43.827042], [4.355946, 43.827043], [4.35597, 43.827057], [4.356125, 43.827145]]]]",d9a82fd5a4c83545857d5b9a29bdb3e3,d9a82fd5a4c83545857d5b9a29bdb3e3,2022-10-06,2022,30,Vente,False,69765.00,1,['30189'],1,['30189000EW0768'],0,,0.00,0,1,['301890005346743_0'],22.00,121,UN APPARTEMENT
3494852,Feature,MultiPolygon,"[[[[4.356273, 43.839275], [4.356368, 43.839287], [4.356382, 43.839289], [4.356397, 43.839227], [4.356546, 43.839246], [4.35662, 43.839255], [4.356607, 43.839313], [4.356565, 43.839309], [4.356563, 43.839313], [4.356542, 43.839406], [4.356529, 43.839464], [4.356423, 43.839469], [4.356386, 43.839469], [4.356353, 43.839468], [4.356227, 43.839467], [4.356268, 43.839293], [4.356273, 43.839275]]]]",38ac834879717c36535309abb8901dca,38ac834879717c36535309abb8901dca,2022-07-06,2022,30,Vente,False,73000.00,1,['30189'],1,['30189000DO1437'],0,,0.00,0,1,['301890005336561_0'],23.00,121,UN APPARTEMENT
3494864,Feature,MultiPolygon,"[[[[4.353288, 43.822589], [4.353291, 43.822568], [4.353309, 43.822456], [4.353311, 43.822448], [4.353331, 43.822371], [4.35334, 43.822337], [4.353381, 43.822178], [4.353644, 43.822227], [4.353525, 43.822569], [4.353509, 43.822613], [4.353506, 43.822623], [4.353495, 43.822654], [4.35344, 43.82264], [4.353404, 43.822631], [4.353368, 43.822622], [4.353371, 43.822612], [4.353323, 43.822599], [4.353288, 43.822589]]]]",bd6900dc944cf6e5a2766b2a0e138c7d,bd6900dc944cf6e5a2766b2a0e138c7d,2022-07-04,2022,30,Vente en l'état futur d'achèvement,True,234000.00,1,['30189'],1,['30189000EV0096'],0,,0.00,0,0,,0.00,101,BATI - INDETERMINE : Vefa sans descriptif
3494904,Feature,MultiPolygon,"[[[[4.358944, 43.835482], [4.35889, 43.835488], [4.358883, 43.835453], [4.358843, 43.835455], [4.358808, 43.835441], [4.358774, 43.835445], [4.358756, 43.835432], [4.358712, 43.8354], [4.358679, 43.835428], [4.3586, 43.835438], [4.358592, 43.835414], [4.358581, 43.835384], [4.358741, 43.835244], [4.359065, 43.835471], [4.358944, 43.835482]]]]",a771d7ac6d81fb9a03e311f6bc0e282b,a771d7ac6d81fb9a03e311f6bc0e282b,2022-12-12,2022,30,Vente,False,258500.00,1,['30189'],1,['30189000EY0196'],0,,0.00,0,5,"['301890005351242_0', '301890005351243_0', '301890005351244_0', '301890005351245_0', '301890005351246_0']",205.00,120,APPARTEMENT INDETERMINE
3494910,Feature,MultiPolygon,"[[[[4.363276, 43.831173], [4.363225, 43.831195], [4.363078, 43.831257], [4.363015, 43.831283], [4.362933, 43.831216], [4.362777, 43.831089], [4.363038, 43.830756], [4.363211, 43.830827], [4.363255, 43.830799], [4.363306, 43.830765], [4.363473, 43.830656], [4.363538, 43.830704], [4.36382, 43.830926], [4.363657, 43.831001], [4.363517, 43.831065], [4.363467, 43.831092], [4.36333, 43.83115], [4.363296, 43.831165], [4.363276, 43.831173]]]]",a62dff0f9328565fc17d7bfc411fbe29,a62dff0f9328565fc17d7bfc411fbe29,2022-09-26,2022,30,Vente,False,303000.00,1,['30189'],1,['30189000EZ0159'],0,,0.00,0,3,"['301890005343804_0', '301890005343805_0', '301890005343806_0']",99.00,152,BATI MIXTE - LOGEMENT/ACTIVITE
3494915,Feature,MultiPolygon,"[[[[4.361153, 43.836412], [4.361129, 43.836446], [4.361114, 43.836482], [4.361172, 43.83652], [4.361213, 43.836533], [4.361262, 43.836551], [4.361383, 43.836592], [4.361378, 43.836597], [4.361308, 43.836674], [4.361261, 43.836725], [4.361242, 43.836719], [4.361214, 43.836757], [4.361122, 43.836729], [4.361187, 43.836634], [4.361152, 43.836622], [4.361086, 43.836599], [4.361096, 43.836587], [4.361063, 43.836575], [4.361061, 43.836574], [4.361043, 43.836572], [4.361026, 43.836569], [4.36101, 43.836566], [4.360941, 43.836537], [4.360963, 43.836504], [4.360987, 43.836439], [4.361153, 43.836412]]]]",5e7ab645dbfe0fcb0a3f1a5fd7eca104,5e7ab645dbfe0fcb0a3f1a5fd7eca104,2022-06-16,2022,30,Vente,False,420000.00,1,['30189'],1,['30189000EY0614'],0,,0.00,0,7,"['301890005332141_0', '301890005332142_0', '301890005332143_0', '301890005332144_0', '301890005332145_0', '301890005332146_0', '301890005332147_0']",140.00,121,UN APPARTEMENT
3494928,Feature,MultiPolygon,"[[[[4.367527, 43.831887], [4.367652, 43.831808], [4.367904, 43.832012], [4.367992, 43.832084], [4.368305, 43.832267], [4.368286, 43.832295], [4.368029, 43.832609], [4.367961, 43.832582], [4.367887, 43.832521], [4.367819, 43.832464], [4.367641, 43.832316], [4.367536, 43.832229], [4.367431, 43.832141], [4.367395, 43.832112], [4.367335, 43.832062], [4.367298, 43.832031], [4.367404, 43.831964], [4.367527, 43.831887]]]]",6dc1663d1a0482969a6ee7259117b8b4,6dc1663d1a0482969a6ee7259117b8b4,2022-07-28,2022,30,Vente,False,80000.00,1,['30189'],1,['30189000HE0934'],0,,0.00,0,2,"['301890005336453_0', '301890005336454_0']",40.00,121,UN APPARTEMENT
3494937,Feature,MultiPolygon,"[[[[4.36067, 43.837351], [4.360644, 43.83734], [4.360636, 43.837349], [4.360587, 43.837329], [4.360515, 43.837424], [4.360491, 43.837415], [4.360553, 43.837329], [4.360586, 43.837287], [4.360595, 43.837276], [4.360669, 43.837294], [4.360653, 43.837315], [4.360688, 43.837329], [4.36067, 43.837351]]]]",020648471b72018365a2b0cd577d282c,020648471b72018365a2b0cd577d282c,2022-03-14,2022,30,Vente,False,60000.00,1,['30189'],1,['30189000EY0485'],1,['30189000EY0485'],73.00,0,6,"['301890005324964_0', '301890005324965_0', '301890005324966_0', '301890005324967_0', '301890005324968_0', '301890005324969_0']",114.00,120,APPARTEMENT INDETERMINE
3494957,Feature,MultiPolygon,"[[[[4.356178, 43.831533], [4.356114, 43.831542], [4.356107, 43.831519], [4.356052, 43.831528], [4.355925, 43.831548], [4.355901, 43.831459], [4.356031, 43.831442], [4.356072, 43.831437], [4.356151, 43.831426], [4.356155, 43.831441], [4.356164, 43.831474], [4.356171, 43.831508], [4.356178, 43.831533]]]]",24e2b243168f8d53b2a6240b23cd164e,24e2b243168f8d53b2a6240b23cd164e,2022-12-09,2022,30,Vente,False,78000.00,1,['30189'],1,['30189000EX0633'],0,,0.00,0,2,"['301890005349732_0', '301890005349733_0']",44.00,121,UN APPARTEMENT
3494959,Feature,MultiPolygon,"[[[[4.360549, 43.838853], [4.360638, 43.838858], [4.360743, 43.838867], [4.360755, 43.838912], [4.360766, 43.83891], [4.360776, 43.838922], [4.360787, 43.838919], [4.360837, 43.838988], [4.360598, 43.839082], [4.36058, 43.839076], [4.360551, 43.838969], [4.360544, 43.838936], [4.360546, 43.838904], [4.360549, 43.838853]]]]",e4a84c7994bc7cc9a2662d3dbf919164,e4a84c7994bc7cc9a2662d3dbf919164,2022-10-04,2022,30,Vente,False,238950.00,1,['30189'],1,['30189000EY0453'],0,,0.00,0,1,['301890005343162_0'],92.00,121,UN APPARTEMENT
3494979,Feature,MultiPolygon,"[[[[4.353944, 43.820051], [4.354001, 43.820056], [4.353978, 43.820139], [4.353951, 43.820236], [4.353959, 43.820237], [4.353939, 43.82031], [4.35389, 43.820307], [4.353897, 43.820283], [4.353916, 43.820213], [4.353957, 43.820067], [4.353944, 43.820051]]], [[[4.352695, 43.819555], [4.352825, 43.819582], [4.352974, 43.819616], [4.353041, 43.819633], [4.35355, 43.819703], [4.353559, 43.819674], [4.353578, 43.819608], [4.354834, 43.819777], [4.354844, 43.8198], [4.354845, 43.819824], [4.354844, 43.81983], [4.35484, 43.819847], [4.354839, 43.81985], [4.354826, 43.819902], [4.354821, 43.819901], [4.35476, 43.820137], [4.35469, 43.820128], [4.354667, 43.820125], [4.354651, 43.820192], [4.354618, 43.82033], [4.354608, 43.820373], [4.354601, 43.820402], [4.354635, 43.820407], [4.354708, 43.820419], [4.354709, 43.820425], [4.354804, 43.820439], [4.354877, 43.820168], [4.354847, 43.820163], [4.354854, 43.820139], [4.354871, 43.820076], [4.354915, 43.819916], [4.354918, 43.819917], [4.354922, 43.819905], [4.354938, 43.819846], [4.354943, 43.819835], [4.354951, 43.819825], [4.354963, 43.819816], [4.354977, 43.819809], [4.354992, 43.819805], [4.355009, 43.819803], [4.355025, 43.819804], [4.355885, 43.819927], [4.355887, 43.81987], [4.353657, 43.819556], [4.353296, 43.819527], [4.353275, 43.819525], [4.353253, 43.819523], [4.353232, 43.819522], [4.35321, 43.81952], [4.353189, 43.819519], [4.353167, 43.819518], [4.353146, 43.819517], [4.353124, 43.819516], [4.353103, 43.819516], [4.353081, 43.819515], [4.353059, 43.819515], [4.353038, 43.819515], [4.353016, 43.819515], [4.352995, 43.819516], [4.352973, 43.819516], [4.352952, 43.819517], [4.35293, 43.819518], [4.352909, 43.819519], [4.352887, 43.819521], [4.352866, 43.819522], [4.352842, 43.819496], [4.352709, 43.819527], [4.352695, 43.819555]]]]",0f7c52c144e16bed6fd6d9fb86a6a7d0,0f7c52c144e16bed6fd6d9fb86a6a7d0,2022-07-21,2022,30,Vente,False,1.00,1,['30189'],4,"['30189000ER0931', '30189000ER0938', '30189000EV0720', '30189000EV0743']",4,"['30189000ER0931', '30189000ER0938', '30189000EV0720', '30189000EV0743']",3086.00,0,1,['301890005336481_0'],0.00,14,ACTIVITE
3494981,Feature,MultiPolygon,"[[[[4.362094, 43.83896], [4.362037, 43.83897], [4.361994, 43.838978], [4.361973, 43.838931], [4.361951, 43.83888], [4.361925, 43.838881], [4.361896, 43.838842], [4.36186, 43.838716], [4.362109, 43.838725], [4.362113, 43.838784], [4.362046, 43.838799], [4.362073, 43.838861], [4.362097, 43.838856], [4.362134, 43.838848], [4.362142, 43.838871], [4.36211, 43.838881], [4.362129, 43.838932], [4.362137, 43.838952], [4.362094, 43.83896]]]]",630f5fe4b316bb43c2b1b68dab9f4795,630f5fe4b316bb43c2b1b68dab9f4795,2022-08-05,2022,30,Vente,False,292900.00,1,['30189'],1,['30189000DO0839'],0,,0.00,0,2,"['301890005338351_0', '301890005338352_0']",136.00,122,DEUX APPARTEMENTS
3495051,Feature,MultiPolygon,"[[[[4.353288, 43.822589], [4.353291, 43.822568], [4.353309, 43.822456], [4.353311, 43.822448], [4.353331, 43.822371], [4.35334, 43.822337], [4.353381, 43.822178], [4.353644, 43.822227], [4.353525, 43.822569], [4.353509, 43.822613], [4.353506, 43.822623], [4.353495, 43.822654], [4.35344, 43.82264], [4.353404, 43.822631], [4.353368, 43.822622], [4.353371, 43.822612], [4.353323, 43.822599], [4.353288, 43.822589]]]]",84c0576210b20788d3d0953a9314dca0,84c0576210b20788d3d0953a9314dca0,2022-09-07,2022,30,Vente en l'état futur d'achèvement,True,236000.00,1,['30189'],1,['30189000EV0096'],0,,0.00,0,0,,0.00,101,BATI - INDETERMINE : Vefa sans descriptif
3495066,Feature,MultiPolygon,"[[[[4.370058, 43.837006], [4.369969, 43.837016], [4.369997, 43.836924], [4.370069, 43.836944], [4.370058, 43.837006]]]]",14f13bac825a16c5bcc164fe1d31a254,14f13bac825a16c5bcc164fe1d31a254,2022-07-01,2022,30,Vente en l'état futur d'achèvement,True,167900.00,1,['30189'],1,['30189000HA1164'],0,,0.00,0,0,,0.00,101,BATI - INDETERMINE : Vefa sans descriptif
3495072,Feature,MultiPolygon,"[[[[4.361842, 43.827203], [4.361835, 43.827072], [4.361827, 43.826951], [4.361824, 43.826897], [4.361823, 43.826879], [4.361823, 43.826869], [4.361822, 43.826862], [4.361824, 43.826857], [4.361825, 43.826851], [4.361829, 43.826844], [4.361871, 43.826777], [4.361889, 43.826748], [4.361895, 43.826738], [4.361898, 43.826733], [4.361904, 43.826728], [4.361911, 43.826723], [4.361918, 43.826718], [4.361925, 43.826714], [4.361933, 43.826712], [4.361949, 43.826711], [4.361961, 43.826711], [4.361969, 43.826712], [4.361982, 43.826714], [4.36204, 43.826733], [4.362103, 43.826753], [4.362157, 43.826771], [4.362203, 43.826786], [4.362264, 43.826807], [4.362311, 43.826821], [4.362349, 43.826834], [4.362389, 43.826848], [4.36242, 43.826858], [4.362478, 43.826875], [4.362523, 43.82689], [4.362576, 43.826906], [4.362626, 43.826923], [4.362669, 43.826936], [4.362698, 43.826946], [4.362725, 43.826955], [4.362761, 43.826966], [4.362771, 43.82697], [4.362789, 43.826976], [4.362803, 43.826984], [4.362811, 43.82699], [4.362815, 43.826995], [4.362819, 43.827001], [4.362822, 43.827008], [4.362827, 43.827015], [4.362829, 43.827021], [4.36283, 43.827029], [4.362831, 43.827036], [4.362829, 43.827053], [4.362826, 43.82706], [4.362824, 43.827067], [4.362822, 43.827073], [4.362819, 43.827078], [4.362812, 43.82709], [4.362793, 43.827122], [4.362755, 43.827187], [4.362737, 43.827218], [4.362733, 43.827225], [4.362728, 43.827239], [4.362725, 43.827252], [4.362723, 43.827266], [4.362726, 43.827279], [4.362726, 43.827282], [4.36273, 43.827294], [4.362734, 43.827302], [4.362736, 43.827305], [4.362718, 43.827334], [4.362708, 43.827348], [4.362695, 43.827369], [4.362564, 43.827328], [4.362456, 43.827293], [4.362403, 43.827277], [4.36236, 43.827264], [4.362298, 43.827279], [4.362291, 43.82729], [4.362154, 43.827263], [4.362113, 43.827255], [4.362046, 43.827242], [4.362028, 43.827238], [4.36201, 43.827234], [4.361999, 43.827234], [4.361956, 43.827225], [4.36192, 43.827218], [4.361842, 43.827203]], [[4.361932, 43.827026], [4.36194, 43.827013], [4.361955, 43.827018], [4.36198, 43.826895], [4.362002, 43.826787], [4.361919, 43.826776], [4.361892, 43.826901], [4.361871, 43.827006], [4.361932, 43.827026]]]]",b632b6c9e0e0383ec8d0d214878cff85,b632b6c9e0e0383ec8d0d214878cff85,2022-06-08,2022,30,Vente,False,156250.00,1,['30189'],1,['30189000ET0080'],0,,0.00,0,4,"['301890005331575_0', '301890005331576_0', '301890005331577_0', '301890005331578_0']",67.00,121,UN APPARTEMENT
3495079,Feature,MultiPolygon,"[[[[4.363276, 43.831173], [4.363225, 43.831195], [4.363078, 43.831257], [4.363015, 43.831283], [4.362933, 43.831216], [4.362777, 43.831089], [4.363038, 43.830756], [4.363211, 43.830827], [4.363255, 43.830799], [4.363306, 43.830765], [4.363473, 43.830656], [4.363538, 43.830704], [4.36382, 43.830926], [4.363657, 43.831001], [4.363517, 43.831065], [4.363467, 43.831092], [4.36333, 43.83115], [4.363296, 43.831165], [4.363276, 43.831173]]]]",dc7702379ba724c485336daa983ee6eb,dc7702379ba724c485336daa983ee6eb,2022-10-28,2022,30,Vente,False,143000.00,1,['30189'],1,['30189000EZ0159'],0,,0.00,0,3,"['301890005344903_0', '301890005344904_0', '301890005344905_0']",1652.00,14,ACTIVITE
3495100,Feature,MultiPolygon,"[[[[4.353514, 43.834825], [4.35334, 43.834753], [4.353352, 43.834724], [4.353365, 43.834692], [4.353403, 43.834597], [4.353479, 43.834623], [4.35348, 43.834621], [4.353492, 43.834624], [4.353502, 43.834626], [4.353544, 43.834638], [4.353592, 43.834651], [4.353514, 43.834825]]]]",2b5758ecd3f6f08b51058204a459999f,2b5758ecd3f6f08b51058204a459999f,2022-04-12,2022,30,Vente,False,104300.00,1,['30189'],1,['30189000EX1387'],0,,0.00,0,1,['301890005325569_0'],44.00,121,UN APPARTEMENT
3495109,Feature,MultiPolygon,"[[[[4.35643, 43.831613], [4.356406, 43.831581], [4.356199, 43.831619], [4.356197, 43.831609], [4.356191, 43.831584], [4.356187, 43.831569], [4.356178, 43.831533], [4.356171, 43.831508], [4.356164, 43.831474], [4.356229, 43.831459], [4.356552, 43.831387], [4.356658, 43.831535], [4.356571, 43.831551], [4.356589, 43.831585], [4.35643, 43.831613]]]]",3781a8fe58601994fe3e7ccbfb444157,3781a8fe58601994fe3e7ccbfb444157,2022-09-29,2022,30,Vente,False,124000.00,1,['30189'],1,['30189000EX1394'],0,,0.00,0,2,"['301890005344102_0', '301890005344103_0']",44.00,121,UN APPARTEMENT
3495147,Feature,MultiPolygon,"[[[[4.35332, 43.819949], [4.352995, 43.819902], [4.352908, 43.820159], [4.352835, 43.820148], [4.35292, 43.819935], [4.352908, 43.819933], [4.352974, 43.819616], [4.353041, 43.819633], [4.35355, 43.819703], [4.353479, 43.819949], [4.353473, 43.819971], [4.35332, 43.819949]]]]",5a5a58b78d46c7e0f55dc172dfa71d28,5a5a58b78d46c7e0f55dc172dfa71d28,2022-12-12,2022,30,Vente,False,118000.00,1,['30189'],1,['30189000EV0554'],0,,0.00,0,1,['301890005350434_0'],67.00,121,UN APPARTEMENT
3495165,Feature,MultiPolygon,"[[[[4.365502, 43.830649], [4.36534, 43.83056], [4.36526, 43.830515], [4.365181, 43.830585], [4.365075, 43.830524], [4.365225, 43.830389], [4.365371, 43.830257], [4.365418, 43.830214], [4.365564, 43.83008], [4.365915, 43.830281], [4.365834, 43.830353], [4.365763, 43.830416], [4.365592, 43.83057], [4.365502, 43.830649]]]]",5c894c292174cd0a9e5dcd5e5deb4ce4,5c894c292174cd0a9e5dcd5e5deb4ce4,2022-06-27,2022,30,Vente,False,109500.00,1,['30189'],1,['30189000HE0077'],0,,0.00,0,2,"['301890005333934_0', '301890005333935_0']",68.00,121,UN APPARTEMENT
3495184,Feature,MultiPolygon,"[[[[4.355512, 43.823824], [4.355312, 43.82376], [4.355266, 43.823745], [4.355167, 43.823712], [4.355068, 43.82368], [4.354982, 43.823652], [4.354958, 43.823644], [4.354882, 43.823619], [4.354827, 43.823601], [4.354764, 43.823581], [4.354792, 43.823537], [4.354801, 43.823524], [4.354966, 43.823302], [4.354918, 43.823286], [4.355044, 43.823171], [4.355054, 43.823169], [4.35507, 43.823169], [4.355083, 43.823169], [4.355095, 43.823172], [4.35511, 43.823176], [4.35522, 43.823212], [4.355237, 43.823185], [4.355795, 43.823368], [4.355657, 43.823612], [4.355605, 43.823704], [4.355561, 43.823782], [4.355531, 43.82383], [4.355512, 43.823824]]]]",9af53d800811c61af0de2eebcf07c3e6,9af53d800811c61af0de2eebcf07c3e6,2022-11-10,2022,30,Vente,False,145000.00,1,['30189'],1,['30189000ET0341'],0,,0.00,0,3,"['301890005347927_0', '301890005347928_0', '301890005347929_0']",75.00,121,UN APPARTEMENT
3495192,Feature,MultiPolygon,"[[[[4.350013, 43.831014], [4.350027, 43.831016], [4.350042, 43.831018], [4.349917, 43.831168], [4.349939, 43.831178], [4.349844, 43.831292], [4.349841, 43.83129], [4.349796, 43.831345], [4.349785, 43.831358], [4.349741, 43.831412], [4.349743, 43.831413], [4.349668, 43.831503], [4.349581, 43.831458], [4.349292, 43.831317], [4.349165, 43.831454], [4.348961, 43.831359], [4.348868, 43.831315], [4.348843, 43.831264], [4.348774, 43.831271], [4.348668, 43.831281], [4.348661, 43.831246], [4.348581, 43.831255], [4.348565, 43.831257], [4.348524, 43.831049], [4.348703, 43.831036], [4.348774, 43.831031], [4.348849, 43.831026], [4.348987, 43.831015], [4.349093, 43.831007], [4.349143, 43.831004], [4.349221, 43.830998], [4.34934, 43.830989], [4.349597, 43.83097], [4.349624, 43.830955], [4.349833, 43.830987], [4.34998, 43.831009], [4.350013, 43.831014]]]]",abc8fabbbd22861fdcdd1da69f48504f,abc8fabbbd22861fdcdd1da69f48504f,2022-08-31,2022,30,Vente en l'état futur d'achèvement,True,339000.00,1,['30189'],1,['30189000EH0922'],0,,0.00,0,0,,0.00,101,BATI - INDETERMINE : Vefa sans descriptif
