codgeo,libgeo,valeurfonc_median_cod111,valeurfonc_median_cod121
30228,Sainte-Anastasie,254918.5,
30229,Saint-André-de-Majencoules,,
30230,Saint-André-de-Roquepertuis,253830.0,
30231,Saint-André-de-Valborgne,,
30232,Saint-André-d'Olérargues,,
30233,Saint-Bauzély,,
30234,Saint-Bénézet,,
30235,Saint-Bonnet-du-Gard,169000.0,
30236,Saint-Bonnet-de-Salendrinque,,
30237,Saint-Brès,,
30238,Saint-Bresson,,
30239,Sainte-Cécile-d'Andorge,,
30240,Saint-Césaire-de-Gauzignan,,
30241,Saint-Chaptes,282085.0,
30242,Saint-Christol-de-Rodières,,
30243,Saint-Christol-lez-Alès,219710.0,
30244,Saint-Clément,,
30245,Saint-Côme-et-Maruéjols,,
30246,Sainte-Croix-de-Caderle,,
30247,Saint-Denis,,
30248,Saint-Dézéry,,
30249,Saint-Dionisy,,
30249,Saint-Dionisy,,
30251,Saint-Étienne-des-Sorts,,
30252,Saint-Félix-de-Pallières,,
30253,Saint-Florent-sur-Auzonnet,220750.0,
30254,Saint-Geniès-de-Comolas,254225.0,
30255,Saint-Geniès-de-Malgoirès,231415.0,
30256,Saint-Gervais,145000.0,
30257,Saint-Gervasy,281200.0,
30258,Saint-Gilles,217000.0,86000.0
30259,Saint-Hilaire-de-Brethmas,227200.0,
30260,Saint-Hilaire-d'Ozilhan,304200.0,
30261,Saint-Hippolyte-de-Caton,,
30262,Saint-Hippolyte-de-Montaigu,,
30263,Saint-Hippolyte-du-Fort,149745.0,
30264,Saint-Jean-de-Ceyrargues,,
30265,Saint-Jean-de-Crieulon,,
30266,Saint-Jean-de-Maruéjols-et-Avéjan,205000.0,
30267,Saint-Jean-de-Serres,134500.0,
30268,Saint-Jean-de-Valériscle,,
30269,Saint-Jean-du-Gard,202500.0,
30270,Saint-Jean-du-Pin,,
30271,Saint-Julien-de-Cassagnas,,
30272,Saint-Julien-de-la-Nef,,
30273,Saint-Julien-de-Peyrolas,265000.0,
30274,Saint-Julien-les-Rosiers,234425.0,
30275,Saint-Just-et-Vacquières,,
30276,Saint-Laurent-d'Aigouze,250000.0,
30277,Saint-Laurent-de-Carnols,,
30278,Saint-Laurent-des-Arbres,292050.0,
30279,Saint-Laurent-la-Vernède,247000.0,
30280,Saint-Laurent-le-Minier,,
30281,Saint-Mamert-du-Gard,244251.0,
30282,Saint-Marcel-de-Careiret,,
30283,Saint-Martial,,
30284,Saint-Martin-de-Valgalgues,180900.0,
30285,Saint-Maurice-de-Cazevieille,,
30286,Saint-Maximin,317125.0,
30287,Saint-Michel-d'Euzet,,
30288,Saint-Nazaire,,
30289,Saint-Nazaire-des-Gardies,,
30290,Saint-Paulet-de-Caisson,285000.0,
30291,Saint-Paul-la-Coste,,
30292,Saint-Pons-la-Calm,,
30293,Saint-Privat-de-Champclos,,
30294,Saint-Privat-des-Vieux,234050.0,
30295,Saint-Quentin-la-Poterie,301900.0,
30296,Saint-Roman-de-Codières,,
30297,Saint-Sauveur-Camprieu,160000.0,
30298,Saint-Sébastien-d'Aigrefeuille,,
30299,Saint-Siffret,485285.0,
30300,Saint-Théodorit,,
30301,Saint-Victor-des-Oules,,
30301,Saint-Victor-des-Oules,,
30303,Saint-Victor-de-Malcap,,
30304,Salazac,,
30305,Salindres,175000.0,
30306,Salinelles,,
30307,Les Salles-du-Gardon,135000.0,
30308,Sanilhac-Sagriès,,
30309,Sardan,,
30309,Sardan,,
30311,Sauve,177915.0,79250.0
30312,Sauveterre,373400.0,
30313,Sauzet,,
30314,Savignargues,,
30315,Saze,300000.0,
30316,Sénéchas,,
30316,Sénéchas,,
30318,Servas,,
30319,Serviers-et-Labaume,,
30320,Seynes,,
30321,Sommières,270950.0,115000.0
30322,Soudorgues,,
30323,Soustelle,,
30323,Soustelle,,
30325,Sumène,,
30326,Tavel,171500.0,
30327,Tharaux,,
30328,Théziers,,
30329,Thoiras,,
30330,Tornac,,
30330,Tornac,,
30332,Trèves,,
30332,Trèves,,
30334,Uzès,369050.0,154870.0
30335,Vabres,,
30336,Vallabrègues,205000.0,
30337,Vallabrix,,
30338,Vallérargues,,
30339,Val-d'Aigoual,115000.0,62307.0
30339,Val-d'Aigoual,115000.0,62307.0
30341,Vauvert,245000.0,125950.0
30342,Vénéjan,,
30343,Verfeuil,,
30344,Vergèze,309950.0,
30345,La Vernarède,,
30346,Vers-Pont-du-Gard,295350.0,
30347,Vestric-et-Candiac,,
30348,Vézénobres,,
30349,Vic-le-Fesq,299370.0,
30350,Le Vigan,155000.0,57000.0
30351,Villeneuve-lès-Avignon,385000.0,185000.0
30352,Villevieille,338777.5,
30353,Vissec,,
30354,Montagnac,,
30355,Saint-Paul-les-Fonts,,
30356,Rodilhan,241050.0,87000.0
